--- Parsing VGM: console_player/music/ws_vgm_ff1/25_Fanfare.vgm ---
VGM Version: 0x171
Data Start Offset: 0xE0

Offset(h) | Command
000005F8  | 71: WAIT n+1 (val: 2)
000005F9  | BC: WonderSwan (reg: 0x10, val: 0x4F)
000005FC  | 61: WAIT (val: 565)
000005FF  | BC: WonderSwan (reg: 0x08, val: 0x5A)
00000602  | 74: WAIT n+1 (val: 5)
00000603  | BC: WonderSwan (reg: 0x09, val: 0x87)
00000606  | 74: WAIT n+1 (val: 5)
00000607  | BC: WonderSwan (reg: 0x0A, val: 0x22)
0000060A  | 75: WAIT n+1 (val: 6)
0000060B  | BC: WonderSwan (reg: 0x0B, val: 0x33)
0000060E  | 70: WAIT n+1 (val: 1)
0000060F  | BC: WonderSwan (reg: 0x10, val: 0x4F)
00000612  | 61: WAIT (val: 568)
00000615  | BC: WonderSwan (reg: 0x08, val: 0x5A)
00000618  | 75: WAIT n+1 (val: 6)
00000619  | BC: WonderSwan (reg: 0x00, val: 0x0B)
0000061C  | BC: WonderSwan (reg: 0x01, val: 0x07)
0000061F  | 74: WAIT n+1 (val: 5)
