--- Parsing VGM: console_player/cache/25_Fanfare.vgm.opm.vgm ---
VGM Version: 0x171
Data Start Offset: 0x100

Offset(h) | Command
000004E5  | 54: YM2151 (reg: 0x25, val: 0xFC)
000004E8  | 54: YM2151 (reg: 0x75, val: 0x1C)
000004EB  | 74: WAIT n+1 (val: 5)
000004EC  | 54: YM2151 (reg: 0x26, val: 0xFC)
000004EF  | 54: YM2151 (reg: 0x76, val: 0x38)
000004F2  | 75: WAIT n+1 (val: 6)
000004F3  | 54: YM2151 (reg: 0x26, val: 0xFC)
000004F6  | 54: YM2151 (reg: 0x76, val: 0x38)
000004F9  | 54: YM2151 (reg: 0x26, val: 0xFC)
000004FC  | 54: YM2151 (reg: 0x76, val: 0x38)
000004FF  | 74: WAIT n+1 (val: 5)
00000500  | 73: WAIT n+1 (val: 4)
00000501  | 72: WAIT n+1 (val: 3)
00000502  | 54: YM2151 (reg: 0x24, val: 0xFC)
00000505  | 54: YM2151 (reg: 0x74, val: 0x14)
00000508  | 54: YM2151 (reg: 0x25, val: 0xFC)
0000050B  | 54: YM2151 (reg: 0x75, val: 0x1C)
0000050E  | 54: YM2151 (reg: 0x26, val: 0xFC)
00000511  | 54: YM2151 (reg: 0x76, val: 0x38)
00000514  | 70: WAIT n+1 (val: 1)
00000515  | 54: YM2151 (reg: 0x24, val: 0xFC)
00000518  | 54: YM2151 (reg: 0x74, val: 0x14)
0000051B  | 54: YM2151 (reg: 0x25, val: 0xFC)
0000051E  | 54: YM2151 (reg: 0x75, val: 0x1C)
00000521  | 54: YM2151 (reg: 0x26, val: 0xFC)
00000524  | 54: YM2151 (reg: 0x76, val: 0x38)
00000527  | 54: YM2151 (reg: 0x0F, val: 0x9F)
0000052A  | 54: YM2151 (reg: 0x7B, val: 0x7D)
0000052D  | 54: YM2151 (reg: 0x08, val: 0x43)
00000530  | 61: WAIT (val: 542)
00000533  | 54: YM2151 (reg: 0x24, val: 0xFC)
00000536  | 54: YM2151 (reg: 0x74, val: 0x14)
00000539  | 74: WAIT n+1 (val: 5)
0000053A  | 54: YM2151 (reg: 0x25, val: 0xFC)
0000053D  | 54: YM2151 (reg: 0x75, val: 0x1C)
00000540  | 75: WAIT n+1 (val: 6)
00000541  | 54: YM2151 (reg: 0x2E, val: 0x35)
00000544  | 54: YM2151 (reg: 0x36, val: 0x6C)
00000547  | 54: YM2151 (reg: 0x26, val: 0xFC)
0000054A  | 54: YM2151 (reg: 0x76, val: 0x38)
0000054D  | 74: WAIT n+1 (val: 5)
0000054E  | 70: WAIT n+1 (val: 1)
0000054F  | 54: YM2151 (reg: 0x24, val: 0xFC)
00000552  | 54: YM2151 (reg: 0x74, val: 0x14)
00000555  | 54: YM2151 (reg: 0x25, val: 0xFC)
00000558  | 54: YM2151 (reg: 0x75, val: 0x1C)
0000055B  | 54: YM2151 (reg: 0x26, val: 0xFC)
0000055E  | 54: YM2151 (reg: 0x76, val: 0x38)
00000561  | 61: WAIT (val: 568)
00000564  | 54: YM2151 (reg: 0x24, val: 0xFC)
00000567  | 54: YM2151 (reg: 0x74, val: 0x14)
0000056A  | 74: WAIT n+1 (val: 5)
0000056B  | 54: YM2151 (reg: 0x25, val: 0xFC)
0000056E  | 54: YM2151 (reg: 0x75, val: 0x1C)
00000571  | 75: WAIT n+1 (val: 6)
00000572  | 54: YM2151 (reg: 0x26, val: 0xFC)
00000575  | 54: YM2151 (reg: 0x76, val: 0x38)
00000578  | 75: WAIT n+1 (val: 6)
00000579  | 71: WAIT n+1 (val: 2)
0000057A  | 54: YM2151 (reg: 0x24, val: 0xFC)
0000057D  | 54: YM2151 (reg: 0x74, val: 0x14)
00000580  | 54: YM2151 (reg: 0x25, val: 0xFC)
00000583  | 54: YM2151 (reg: 0x75, val: 0x1C)
00000586  | 54: YM2151 (reg: 0x26, val: 0xFC)
00000589  | 54: YM2151 (reg: 0x76, val: 0x38)
0000058C  | 61: WAIT (val: 565)
0000058F  | 54: YM2151 (reg: 0x24, val: 0xFC)
00000592  | 54: YM2151 (reg: 0x74, val: 0x14)
00000595  | 74: WAIT n+1 (val: 5)
